country,weekly_count,year_week,year_month
Azerbaijan,1004,2021-07,2021-02
Azerbaijan,1461,2021-08,2021-02
Azerbaijan,2301,2021-09,2021-03
Azerbaijan,3332,2021-10,2021-03
Azerbaijan,6679,2021-11,2021-03
Azerbaijan,10356,2021-12,2021-03
Azerbaijan,14504,2021-13,2021-04
Azerbaijan,15310,2021-14,2021-04
Azerbaijan,14517,2021-15,2021-04
Azerbaijan,12151,2021-16,2021-04
Azerbaijan,7986,2021-17,2021-04
Azerbaijan,5289,2021-18,2021-05
Azerbaijan,3182,2021-19,2021-05
Azerbaijan,2185,2021-20,2021-05
Azerbaijan,1410,2021-21,2021-05
Azerbaijan,851,2021-22,2021-06
Azerbaijan,456,2021-23,2021-06
Azerbaijan,322,2021-24,2021-06
Azerbaijan,343,2021-25,2021-06
Azerbaijan,581,2021-26,2021-06
Azerbaijan,837,2021-27,2021-07
Azerbaijan,1332,2021-28,2021-07
Azerbaijan,1857,2021-29,2021-07
Azerbaijan,4077,2021-30,2021-07
Azerbaijan,7305,2021-31,2021-08
Azerbaijan,16177,2021-32,2021-08
Azerbaijan,23504,2021-33,2021-08
Azerbaijan,26490,2021-34,2021-08
Azerbaijan,24876,2021-35,2021-08
Azerbaijan,17220,2021-36,2021-09
Azerbaijan,12627,2021-37,2021-09
Azerbaijan,8124,2021-38,2021-09
Azerbaijan,5535,2021-39,2021-09
Azerbaijan,5801,2021-40,2021-10
Azerbaijan,10028,2021-41,2021-10
Belarus,0,2020-01,2020-01
Belarus,0,2020-02,2020-01
Belarus,0,2020-03,2020-01
Belarus,0,2020-04,2020-01
Belarus,0,2020-05,2020-02
Belarus,0,2020-06,2020-02
Belarus,0,2020-07,2020-02
Belarus,0,2020-08,2020-02
Belarus,1,2020-09,2020-03
Belarus,5,2020-10,2020-03
Belarus,21,2020-11,2020-03
Belarus,49,2020-12,2020-03
Belarus,18,2020-13,2020-04
Belarus,470,2020-14,2020-04
Belarus,2014,2020-15,2020-04
Belarus,3229,2020-16,2020-04
Belarus,4656,2020-17,2020-04
Belarus,6242,2020-18,2020-05
Belarus,6268,2020-19,2020-05
Belarus,6677,2020-20,2020-05
Belarus,6548,2020-21,2020-05
Belarus,6358,2020-22,2020-06
Belarus,6074,2020-23,2020-06
Belarus,5343,2020-24,2020-06
Belarus,4532,2020-25,2020-06
Belarus,2970,2020-26,2020-06
Belarus,2079,2020-27,2020-07
Belarus,1378,2020-28,2020-07
Belarus,1163,2020-29,2020-07
Belarus,1037,2020-30,2020-07
Belarus,935,2020-31,2020-08
Belarus,783,2020-32,2020-08
Belarus,666,2020-33,2020-08
Belarus,952,2020-34,2020-08
Belarus,1219,2020-35,2020-08
Belarus,1172,2020-36,2020-09
Belarus,1314,2020-37,2020-09
Belarus,1501,2020-38,2020-09
Belarus,1935,2020-39,2020-09
Belarus,2686,2020-40,2020-10
Belarus,3239,2020-41,2020-10
Belarus,4164,2020-42,2020-10
Belarus,5125,2020-43,2020-10
Belarus,6636,2020-44,2020-10
Belarus,6820,2020-45,2020-11
Belarus,7906,2020-46,2020-11
Belarus,9814,2020-47,2020-11
Belarus,11009,2020-48,2020-11
Belarus,12149,2020-49,2020-12
Belarus,13138,2020-50,2020-12
Belarus,13228,2020-51,2020-12
Belarus,15065,2020-52,2020-12
Belarus,11374,2020-53,2020-12
Belarus,14031,2021-01,2021-01
Belarus,13367,2021-02,2021-01
Belarus,10251,2021-03,2021-01
Belarus,10725,2021-04,2021-01
Belarus,10163,2021-05,2021-02
Belarus,10188,2021-06,2021-02
Belarus,10769,2021-07,2021-02
Belarus,8811,2021-08,2021-02
Belarus,8174,2021-09,2021-03
Belarus,5882,2021-10,2021-03
Belarus,8122,2021-11,2021-03
Belarus,8236,2021-12,2021-03
Belarus,8623,2021-13,2021-04
Belarus,9577,2021-14,2021-04
Belarus,7342,2021-15,2021-04
Belarus,9623,2021-16,2021-04
Belarus,8051,2021-17,2021-04
Belarus,6991,2021-18,2021-05
Belarus,8644,2021-19,2021-05
Belarus,8493,2021-20,2021-05
Belarus,8414,2021-21,2021-05
Belarus,5983,2021-22,2021-06
Belarus,5241,2021-23,2021-06
Belarus,5490,2021-24,2021-06
Belarus,4627,2021-25,2021-06
Belarus,5570,2021-26,2021-06
Belarus,7245,2021-27,2021-07
Belarus,6425,2021-28,2021-07
Belarus,6336,2021-29,2021-07
Belarus,6398,2021-30,2021-07
Belarus,6920,2021-31,2021-08
Belarus,7523,2021-32,2021-08
Belarus,8438,2021-33,2021-08
Belarus,9729,2021-34,2021-08
Belarus,12035,2021-35,2021-08
Belarus,10674,2021-36,2021-09
Belarus,15296,2021-37,2021-09
Belarus,13780,2021-38,2021-09
Belarus,11827,2021-39,2021-09
Belarus,15739,2021-40,2021-10
Belarus,14228,2021-41,2021-10
Belgium,0,2020-01,2020-01
Belgium,0,2020-02,2020-01
Belgium,0,2020-03,2020-01
Belgium,0,2020-04,2020-01
Belgium,0,2020-05,2020-02
Belgium,0,2020-06,2020-02
Belgium,0,2020-07,2020-02
Belgium,343,2020-08,2020-02
Belgium,-324,2020-09,2020-03
Belgium,388,2020-10,2020-03
Belgium,1348,2020-11,2020-03
Belgium,3673,2020-12,2020-03
Belgium,8130,2020-13,2020-04
Belgium,9694,2020-14,2020-04
Belgium,11175,2020-15,2020-04
Belgium,7963,2020-16,2020-04
Belgium,5703,2020-17,2020-04
Belgium,3095,2020-18,2020-05
Belgium,3051,2020-19,2020-05
Belgium,2071,2020-20,2020-05
Belgium,1510,2020-21,2020-05
Belgium,1144,2020-22,2020-06
Belgium,847,2020-23,2020-06
Belgium,671,2020-24,2020-06
Belgium,668,2020-25,2020-06
Belgium,607,2020-26,2020-06
Belgium,637,2020-27,2020-07
Belgium,704,2020-28,2020-07
Belgium,1385,2020-29,2020-07
Belgium,2489,2020-30,2020-07
Belgium,3759,2020-31,2020-08
Belgium,4340,2020-32,2020-08
Belgium,3751,2020-33,2020-08
Belgium,3453,2020-34,2020-08
Belgium,3121,2020-35,2020-08
Belgium,3655,2020-36,2020-09
Belgium,6158,2020-37,2020-09
Belgium,10108,2020-38,2020-09
Belgium,11274,2020-39,2020-09
Belgium,18895,2020-40,2020-10
Belgium,38852,2020-41,2020-10
Belgium,72232,2020-42,2020-10
Belgium,105385,2020-43,2020-10
Belgium,99584,2020-44,2020-10
Belgium,54006,2020-45,2020-11
Belgium,33967,2020-46,2020-11
Belgium,22312,2020-47,2020-11
Belgium,16261,2020-48,2020-11
Belgium,15289,2020-49,2020-12
Belgium,16840,2020-50,2020-12
Belgium,17714,2020-51,2020-12
Belgium,12607,2020-52,2020-12
Belgium,11436,2020-53,2020-12
Belgium,14920,2021-01,2021-01
Belgium,14183,2021-02,2021-01
Belgium,15424,2021-03,2021-01
Belgium,16998,2021-04,2021-01
Belgium,15377,2021-05,2021-02
Belgium,12932,2021-06,2021-02
Belgium,15661,2021-07,2021-02
Belgium,16955,2021-08,2021-02
Belgium,16701,2021-09,2021-03
Belgium,21554,2021-10,2021-03
Belgium,29615,2021-11,2021-03
Belgium,34289,2021-12,2021-03
Belgium,30214,2021-13,2021-04
Belgium,24438,2021-14,2021-04
Belgium,24656,2021-15,2021-04
Belgium,24689,2021-16,2021-04
Belgium,21022,2021-17,2021-04
Belgium,21232,2021-18,2021-05
Belgium,14913,2021-19,2021-05
Belgium,17298,2021-20,2021-05
Belgium,12230,2021-21,2021-05
Belgium,9117,2021-22,2021-06
Belgium,5282,2021-23,2021-06
Belgium,3027,2021-24,2021-06
Belgium,2456,2021-25,2021-06
Belgium,4087,2021-26,2021-06
Belgium,7510,2021-27,2021-07
Belgium,9541,2021-28,2021-07
Belgium,10386,2021-29,2021-07
Belgium,11278,2021-30,2021-07
Belgium,12229,2021-31,2021-08
Belgium,13333,2021-32,2021-08
Belgium,13816,2021-33,2021-08
Belgium,14104,2021-34,2021-08
Belgium,13750,2021-35,2021-08
Belgium,13734,2021-36,2021-09
Belgium,14445,2021-37,2021-09
Belgium,13615,2021-38,2021-09
Belgium,13286,2021-39,2021-09
Belgium,14818,2021-40,2021-10
Belgium,22717,2021-41,2021-10
Bosnia And Herzegovina,18,2020-11,2020-03
Bosnia And Herzegovina,113,2020-12,2020-03
Bosnia And Herzegovina,221,2020-13,2020-04
Bosnia And Herzegovina,296,2020-14,2020-04
Bosnia And Herzegovina,352,2020-15,2020-04
Bosnia And Herzegovina,285,2020-16,2020-04
Bosnia And Herzegovina,231,2020-17,2020-04
Bosnia And Herzegovina,341,2020-18,2020-05
Bosnia And Herzegovina,260,2020-19,2020-05
Bosnia And Herzegovina,173,2020-20,2020-05
Bosnia And Herzegovina,111,2020-21,2020-05
Bosnia And Herzegovina,109,2020-22,2020-06
Bosnia And Herzegovina,164,2020-23,2020-06
Bosnia And Herzegovina,328,2020-24,2020-06
Bosnia And Herzegovina,430,2020-25,2020-06
Bosnia And Herzegovina,774,2020-26,2020-06
Bosnia And Herzegovina,1188,2020-27,2020-07
Bosnia And Herzegovina,1490,2020-28,2020-07
Bosnia And Herzegovina,1568,2020-29,2020-07
Bosnia And Herzegovina,1863,2020-30,2020-07
Bosnia And Herzegovina,1857,2020-31,2020-08
Bosnia And Herzegovina,2153,2020-32,2020-08
Bosnia And Herzegovina,1684,2020-33,2020-08
Bosnia And Herzegovina,1893,2020-34,2020-08
Bosnia And Herzegovina,1891,2020-35,2020-08
Bosnia And Herzegovina,1767,2020-36,2020-09
Bosnia And Herzegovina,1907,2020-37,2020-09
Bosnia And Herzegovina,1962,2020-38,2020-09
Bosnia And Herzegovina,1492,2020-39,2020-09
Bosnia And Herzegovina,1384,2020-40,2020-10
Bosnia And Herzegovina,2342,2020-41,2020-10
Bosnia And Herzegovina,3469,2020-42,2020-10
Bosnia And Herzegovina,6777,2020-43,2020-10
Bosnia And Herzegovina,10612,2020-44,2020-10
Bosnia And Herzegovina,10918,2020-45,2020-11
Bosnia And Herzegovina,9533,2020-46,2020-11
Bosnia And Herzegovina,8050,2020-47,2020-11
Bosnia And Herzegovina,7268,2020-48,2020-11
Bosnia And Herzegovina,7233,2020-49,2020-12
Bosnia And Herzegovina,6610,2020-50,2020-12
Bosnia And Herzegovina,4889,2020-51,2020-12
Bosnia And Herzegovina,3685,2020-52,2020-12
Bosnia And Herzegovina,2954,2020-53,2020-12
Bosnia And Herzegovina,2988,2021-01,2021-01
Bosnia And Herzegovina,2340,2021-02,2021-01
Bosnia And Herzegovina,2070,2021-03,2021-01
Bosnia And Herzegovina,2043,2021-04,2021-01
Bosnia And Herzegovina,1858,2021-05,2021-02
Bosnia And Herzegovina,2079,2021-06,2021-02
Bosnia And Herzegovina,2295,2021-07,2021-02
Bosnia And Herzegovina,3820,2021-08,2021-02
Bosnia And Herzegovina,4760,2021-09,2021-03
Bosnia And Herzegovina,7351,2021-10,2021-03
Bosnia And Herzegovina,9560,2021-11,2021-03
Bosnia And Herzegovina,11122,2021-12,2021-03
Bosnia And Herzegovina,10846,2021-13,2021-04
Bosnia And Herzegovina,8477,2021-14,2021-04
Bosnia And Herzegovina,6513,2021-15,2021-04
Bosnia And Herzegovina,5024,2021-16,2021-04
Bosnia And Herzegovina,3148,2021-17,2021-04
Bosnia And Herzegovina,2177,2021-18,2021-05
Bosnia And Herzegovina,1303,2021-19,2021-05
Bosnia And Herzegovina,917,2021-20,2021-05
Bosnia And Herzegovina,642,2021-21,2021-05
Bosnia And Herzegovina,408,2021-22,2021-06
Bosnia And Herzegovina,276,2021-23,2021-06
Bosnia And Herzegovina,189,2021-24,2021-06
Bosnia And Herzegovina,133,2021-25,2021-06
Bosnia And Herzegovina,80,2021-26,2021-06
Bosnia And Herzegovina,106,2021-27,2021-07
Bosnia And Herzegovina,108,2021-28,2021-07
Bosnia And Herzegovina,204,2021-29,2021-07
Bosnia And Herzegovina,303,2021-30,2021-07
Bosnia And Herzegovina,532,2021-31,2021-08
Bosnia And Herzegovina,1254,2021-32,2021-08
Bosnia And Herzegovina,2338,2021-33,2021-08
Bosnia And Herzegovina,3470,2021-34,2021-08
Bosnia And Herzegovina,3983,2021-35,2021-08
Bosnia And Herzegovina,3274,2021-36,2021-09
Bosnia And Herzegovina,6943,2021-37,2021-09
Bosnia And Herzegovina,4658,2021-38,2021-09
Bosnia And Herzegovina,4780,2021-39,2021-09
Bosnia And Herzegovina,4210,2021-40,2021-10
Bosnia And Herzegovina,3855,2021-41,2021-10
Bulgaria,4,2020-10,2020-03
Bulgaria,47,2020-11,2020-03
Bulgaria,134,2020-12,2020-03
Bulgaria,161,2020-13,2020-04
Bulgaria,185,2020-14,2020-04
Bulgaria,144,2020-15,2020-04
Bulgaria,240,2020-16,2020-04
Bulgaria,385,2020-17,2020-04
Bulgaria,318,2020-18,2020-05
Bulgaria,347,2020-19,2020-05
Bulgaria,270,2020-20,2020-05
Bulgaria,198,2020-21,2020-05
Bulgaria,80,2020-22,2020-06
Bulgaria,214,2020-23,2020-06
Bulgaria,563,2020-24,2020-06
Bulgaria,615,2020-25,2020-06
Bulgaria,786,2020-26,2020-06
Bulgaria,1049,2020-27,2020-07
Bulgaria,1512,2020-28,2020-07
Bulgaria,1481,2020-29,2020-07
Bulgaria,1694,2020-30,2020-07
