Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Mario Balotelli,Centre-Forward,20,Inter,Serie A,Italy,Man City,Premier League,England,2010-2011,26000000,29500000
David Silva,Attacking Midfield,24,Valencia CF,LaLiga,Spain,Man City,Premier League,England,2010-2011,32000000,28750000
Luis Suárez,Centre-Forward,24,AFC Ajax,Eredivisie,Netherlands,Liverpool,Premier League,England,2010-2011,25000000,26500000
David Luiz,Centre-Back,23,Benfica,Liga NOS,Portugal,Chelsea,Premier League,England,2010-2011,14000000,25000000
Aleksandar Kolarov,Left-Back,24,Lazio,Serie A,Italy,Man City,Premier League,England,2010-2011,9000000,23860000
Yoann Gourcuff,Attacking Midfield,24,G. Bordeaux,Ligue 1,France,Olympique Lyon,Ligue 1,France,2010-2011,22500000,22000000
James Milner,Central Midfield,24,Aston Villa,Premier League,England,Man City,Premier League,England,2010-2011,20000000,22000000
Bruno Alves,Centre-Back,28,FC Porto,Liga NOS,Portugal,Zenit S-Pb,Premier Liga,Russia,2010-2011,18000000,22000000
Ramires,Central Midfield,23,Benfica,Liga NOS,Portugal,Chelsea,Premier League,England,2010-2011,14000000,22000000
Darren Bent,Centre-Forward,26,Sunderland,Premier League,England,Aston Villa,Premier League,England,2010-2011,18000000,21500000
Javier Mascherano,Defensive Midfield,26,Liverpool,Premier League,England,FC Barcelona,LaLiga,Spain,2010-2011,26000000,20000000
Carlos Eduardo,Attacking Midfield,23,TSG Hoffenheim,1.Bundesliga,German,Rubin Kazan,Premier Liga,Russia,2010-2011,14500000,20000000
Andrea Ranocchia,Centre-Back,22,Genoa,Serie A,Italy,Inter,Serie A,Italy,2010-2011,10000000,18500000
Mesut Özil,Attacking Midfield,21,Werder Bremen,1.Bundesliga,German,Real Madrid,LaLiga,Spain,2010-2011,27000000,18000000
Giampaolo Pazzini,Centre-Forward,26,Sampdoria,Serie A,Italy,Inter,Serie A,Italy,2010-2011,19000000,18000000
Robinho,Left Winger,26,Man City,Premier League,England,AC Milan,Serie A,Italy,2010-2011,15000000,18000000
Luiz Gustavo,Defensive Midfield,23,TSG Hoffenheim,1.Bundesliga,German,Bayern Munich,1.Bundesliga,Germany,2010-2011,6500000,17000000
André-Pierre Gignac,Centre-Forward,24,Toulouse,Ligue 1,France,Marseille,Ligue 1,France,2010-2011,14500000,16000000
Asamoah Gyan,Centre-Forward,24,Stade Rennais,Ligue 1,France,Sunderland,Premier League,England,2010-2011,11000000,16000000
Diego,Attacking Midfield,25,Juventus,Serie A,Italy,VfL Wolfsburg,1.Bundesliga,Germany,2010-2011,24000000,15500000
Loïc Rémy,Centre-Forward,23,OGC Nice,Ligue 1,France,Marseille,Ligue 1,France,2010-2011,12000000,15500000
Leonardo Bonucci,Centre-Back,23,Bari,Serie A,Italy,Juventus,Serie A,Italy,2010-2011,8000000,15500000
Milos Krasic,Central Midfield,25,CSKA Moscow,Premier Liga,Russia,Juventus,Serie A,Italy,2010-2011,15000000,15000000
Dmytro Chygrynskiy,Centre-Back,23,FC Barcelona,LaLiga,Spain,Shakhtar D.,Premier Liga,Russia,2010-2011,8000000,15000000
Sami Khedira,Central Midfield,23,VfB Stuttgart,1.Bundesliga,German,Real Madrid,LaLiga,Spain,2010-2011,18000000,14000000
Klaas-Jan Huntelaar,Centre-Forward,27,AC Milan,Serie A,Italy,FC Schalke 04,1.Bundesliga,Germany,2010-2011,13000000,14000000
Hernanes,Attacking Midfield,25,São Paulo,Serie A,Italy,Lazio,Serie A,Italy,2010-2011,9000000,13500000
Raúl Meireles,Central Midfield,27,FC Porto,Liga NOS,Portugal,Liverpool,Premier League,England,2010-2011,11000000,13000000
Jérôme Boateng,Centre-Back,21,Hamburger SV,1.Bundesliga,German,Man City,Premier League,England,2010-2011,15000000,12500000
Laurent Koscielny,Centre-Back,24,FC Lorient,Ligue 1,France,Arsenal,Premier League,England,2010-2011,5000000,12500000
Simon Kjær,Centre-Back,21,US Palermo,Serie A,Italy,VfL Wolfsburg,1.Bundesliga,Germany,2010-2011,12000000,12000000
Aleksandr Bukharov,Centre-Forward,25,Rubin Kazan,Premier Liga,Russia,Zenit S-Pb,Premier Liga,Russia,2010-2011,10000000,12000000
Filipe Luís,Left-Back,24,Dep. La Coruña,LaLiga,Spain,Atlético Madrid,LaLiga,Spain,2010-2011,10000000,12000000
Jorge Martínez,Right Winger,27,Catania,Serie A,Italy,Juventus,Serie A,Italy,2010-2011,8000000,12000000
Aiden McGeady,Right Winger,24,Celtic,Premiership,Premiership,Spartak Moscow,Premier Liga,Russia,2010-2011,8000000,12000000
João Moutinho,Central Midfield,23,Sporting CP,Liga NOS,Portugal,FC Porto,Liga NOS,Portugal,2010-2011,14500000,11000000
José Manuel Jurado,Attacking Midfield,24,Atlético Madrid,LaLiga,Spain,FC Schalke 04,1.Bundesliga,Germany,2010-2011,13000000,11000000
Seydou Doumbia,Centre-Forward,22,BSC Young Boys,Super League,Super League,CSKA Moscow,Premier Liga,Russia,2010-2011,8000000,11000000
Giuliano,Attacking Midfield,20,Internacional,Serie A,Italy,Dnipro,Premier Liga,Russia,2010-2011,8000000,11000000
Rafael van der Vaart,Attacking Midfield,27,Real Madrid,LaLiga,Spain,Spurs,Premier League,England,2010-2011,15000000,10500000
Roberto Soldado,Centre-Forward,25,Getafe CF,LaLiga,Spain,Valencia CF,LaLiga,Spain,2010-2011,10000000,10000000
Sandro,Defensive Midfield,21,Internacional,Serie A,Italy,Spurs,Premier League,England,2010-2011,9000000,10000000
Pedro León,Right Winger,23,Getafe CF,LaLiga,Spain,Real Madrid,LaLiga,Spain,2010-2011,8000000,10000000
Jucilei,Defensive Midfield,22,Corinthians,Serie A,Italy,Anzhi,Premier Liga,Russia,2010-2011,6500000,10000000
Nicolás Pareja,Centre-Back,26,Espanyol,LaLiga,Spain,Spartak Moscow,Premier Liga,Russia,2010-2011,6000000,10000000
Stephen Ireland,Attacking Midfield,24,Man City,Premier League,England,Aston Villa,Premier League,England,2010-2011,13000000,9700000
Kenwyne Jones,Centre-Forward,25,Sunderland,Premier League,England,Stoke City,Premier League,England,2010-2011,10000000,9700000
Adriano,Left-Back,25,Sevilla FC,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2010-2011,20000000,9500000
Salvatore Bocchetti,Centre-Back,23,Genoa,Serie A,Italy,Rubin Kazan,Premier Liga,Russia,2010-2011,6500000,9500000
Zoran Tosic,Right Winger,23,Man Utd,Premier League,England,CSKA Moscow,Premier Liga,Russia,2010-2011,5500000,9500000
Miguel Veloso,Defensive Midfield,24,Sporting CP,Liga NOS,Portugal,Genoa,Serie A,Italy,2010-2011,11500000,9000000
Mamadou Niang,Centre-Forward,30,Marseille,Ligue 1,France,Fenerbahce,Süper Lig,Turkey,2010-2011,11000000,9000000
Obafemi Martins,Centre-Forward,25,VfL Wolfsburg,1.Bundesliga,German,Rubin Kazan,Premier Liga,Russia,2010-2011,10500000,9000000
Bebé,Left Winger,20,Vit. Guimarães,Liga NOS,Portugal,Man Utd,Premier League,England,2010-2011,100000,8800000
Sebastián Blanco,Attacking Midfield,22,Lanús,Torneo Final,Argentina,Metalist,Premier Liga,Russia,2010-2011,4000000,8700000
Zvjezdan Misimovic,Attacking Midfield,28,VfL Wolfsburg,1.Bundesliga,German,Galatasaray,Süper Lig,Turkey,2010-2011,14500000,8500000
Sergio Floccari,Centre-Forward,28,Genoa,Serie A,Italy,Lazio,Serie A,Italy,2010-2011,10000000,8500000
Víctor Ruiz,Centre-Back,21,Espanyol,LaLiga,Spain,SSC Napoli,Serie A,Italy,2010-2011,4000000,8500000
Roberto,Goalkeeper,24,Atlético Madrid,LaLiga,Spain,Benfica,Liga NOS,Portugal,2010-2011,2000000,8500000
Nico Gaitán,Left Winger,22,Boca Juniors,Torneo Final,Argentina,Benfica,Liga NOS,Portugal,2010-2011,5000000,8400000
Abdul Kader Keita,Right Winger,28,Galatasaray,Süper Lig,Turkey,Al Sadd,Qatar,Qatar,2010-2011,10000000,8150000
André,Centre-Forward,19,Santos FC,Serie A,Italy,Dynamo Kyiv,Premier Liga,Russia,2010-2011,4000000,8100000
Ricardo Carvalho,Centre-Back,32,Chelsea,Premier League,England,Real Madrid,LaLiga,Spain,2010-2011,17500000,8000000
Rafinha,Right-Back,24,FC Schalke 04,1.Bundesliga,German,Genoa,Serie A,Italy,2010-2011,12000000,8000000
Diego Godín,Centre-Back,24,Villarreal CF,LaLiga,Spain,Atlético Madrid,LaLiga,Spain,2010-2011,12000000,8000000
Oleksandr Aliyev,Attacking Midfield,26,Loko Moscow,Premier Liga,Russia,Dynamo Kyiv,Premier Liga,Russia,2010-2011,10000000,8000000
Moubarak Boussoufa,Attacking Midfield,26,RSC Anderlecht,Jupiler Pro League,Belgium,Anzhi,Premier Liga,Russia,2010-2011,9000000,8000000
Nicolás Burdisso,Centre-Back,29,Inter,Serie A,Italy,AS Roma,Serie A,Italy,2010-2011,7000000,8000000
Ismaël Bangoura,Centre-Forward,25,Stade Rennais,Ligue 1,France,Al-Nasr,United Arab Emirates,United Arab Emirates,2010-2011,6000000,8000000
Chris Smalling,Centre-Back,20,Fulham,Premier League,England,Man Utd,Premier League,England,2010-2011,2000000,8000000
Luís Fabiano,Centre-Forward,30,Sevilla FC,LaLiga,Spain,São Paulo,Serie A,Italy,2010-2011,8000000,7600000
Heiko Westermann,Centre-Back,26,FC Schalke 04,1.Bundesliga,German,Hamburger SV,1.Bundesliga,Germany,2010-2011,9000000,7500000
Wesley,Central Midfield,23,Santos FC,Serie A,Italy,Werder Bremen,1.Bundesliga,Germany,2010-2011,6000000,7500000
Chicharito,Centre-Forward,22,Chivas,Liga MX Clausura,Mexico,Man Utd,Premier League,England,2010-2011,6000000,7500000
James Rodríguez,Attacking Midfield,18,CA Banfield,Torneo Final,Argentina,FC Porto,Liga NOS,Portugal,2010-2011,2500000,7350000
Ricardo Quaresma,Right Winger,26,Inter,Serie A,Italy,Besiktas,Süper Lig,Turkey,2010-2011,12000000,7300000
Eduardo,Centre-Forward,27,Arsenal,Premier League,England,Shakhtar D.,Premier Liga,Russia,2010-2011,10500000,7200000
Steven Fletcher,Centre-Forward,23,Burnley,Championship,Championship,Wolves,Premier League,England,2010-2011,4500000,7200000
Yossi Benayoun,Right Winger,30,Liverpool,Premier League,England,Chelsea,Premier League,England,2010-2011,10500000,7000000
Stéphane Sessègnon,Attacking Midfield,26,Paris SG,Ligue 1,France,Sunderland,Premier League,England,2010-2011,8500000,7000000
Nikola Zigic,Centre-Forward,29,Valencia CF,LaLiga,Spain,Birmingham,Premier League,England,2010-2011,8000000,7000000
Dieumerci Mbokani,Centre-Forward,24,Standard Liège,Jupiler Pro League,Belgium,Monaco,Ligue 1,France,2010-2011,8000000,7000000
Jonathan Biabiany,Right Winger,22,Inter,Serie A,Italy,Sampdoria,Serie A,Italy,2010-2011,7500000,7000000
Mario Mandzukic,Left Winger,24,Dinamo Zagreb,1.HNL,Croatia,VfL Wolfsburg,1.Bundesliga,Germany,2010-2011,7500000,7000000
Elias,Central Midfield,25,Corinthians,Serie A,Italy,Atlético Madrid,LaLiga,Spain,2010-2011,7000000,7000000
Ryan Babel,Left Winger,24,Liverpool,Premier League,England,TSG Hoffenheim,1.Bundesliga,Germany,2010-2011,6500000,7000000
Blerim Dzemaili,Central Midfield,24,Torino,Serie B,Italy,Parma,Serie A,Italy,2010-2011,5000000,7000000
Marc Janko,Centre-Forward,27,RB Salzburg,Bundesliga,Germany,FC Twente,Eredivisie,Netherlands,2010-2011,4500000,7000000
Aleksandar Lukovic,Centre-Back,27,Udinese Calcio,Serie A,Italy,Zenit S-Pb,Premier Liga,Russia,2010-2011,3800000,7000000
Luca Antonelli,Left-Back,23,Parma,Serie A,Italy,Genoa,Serie A,Italy,2010-2011,3500000,7000000
Oleksandr Gladky,Centre-Forward,22,Shakhtar D.,Premier Liga,Russia,Dnipro,Premier Liga,Russia,2010-2011,3000000,7000000
Ben Foster,Goalkeeper,27,Man Utd,Premier League,England,Birmingham,Premier League,England,2010-2011,3000000,7000000
Andrea Rispoli,Right-Back,21,Brescia,Serie A,Italy,Parma,Serie A,Italy,2010-2011,1500000,7000000
Sébastien Squillaci,Centre-Back,30,Sevilla FC,LaLiga,Spain,Arsenal,Premier League,England,2010-2011,8000000,6500000
Issiar Dia,Right Winger,23,AS Nancy,Ligue 1,France,Fenerbahce,Süper Lig,Turkey,2010-2011,6500000,6500000
Tino Costa,Central Midfield,25,Montpellier,Ligue 1,France,Valencia CF,LaLiga,Spain,2010-2011,6400000,6500000
Víctor Montaño,Centre-Forward,26,Montpellier,Ligue 1,France,Stade Rennais,Ligue 1,France,2010-2011,4000000,6500000
Mattia Destro,Centre-Forward,19,Inter U19,Primavera B,Primavera B,Genoa,Serie A,Italy,2010-2011,1000000,6500000
Felipe,Centre-Back,25,Udinese Calcio,Serie A,Italy,Fiorentina,Serie A,Italy,2010-2011,6500000,6300000
Taison,Left Winger,22,Internacional,Serie A,Italy,Metalist,Premier Liga,Russia,2010-2011,1200000,6300000
Jean II Makoun,Defensive Midfield,27,Olympique Lyon,Ligue 1,France,Aston Villa,Premier League,England,2010-2011,7500000,6200000
Marko Arnautovic,Left Winger,21,FC Twente,Eredivisie,Netherlands,Werder Bremen,1.Bundesliga,Germany,2010-2011,6500000,6200000
Albert Riera,Left Winger,28,Liverpool,Premier League,England,Olympiacos,Super League,Super League,2010-2011,14000000,6000000
Alex,Attacking Midfield,29,Spartak Moscow,Premier Liga,Russia,Corinthians,Serie A,Italy,2010-2011,8000000,6000000
Jimmy Briand,Centre-Forward,24,Stade Rennais,Ligue 1,France,Olympique Lyon,Ligue 1,France,2010-2011,7800000,6000000
Mousa Dembélé,Central Midfield,23,AZ Alkmaar,Eredivisie,Netherlands,Fulham,Premier League,England,2010-2011,7500000,6000000
Raffaele Palladino,Left Winger,26,Genoa,Serie A,Italy,Parma,Serie A,Italy,2010-2011,7000000,6000000
Hatem Ben Arfa,Attacking Midfield,23,Marseille,Ligue 1,France,Newcastle,Premier League,England,2010-2011,7000000,6000000
César Azpilicueta,Right-Back,20,CA Osasuna,LaLiga,Spain,Marseille,Ligue 1,France,2010-2011,7000000,6000000
Abdoulay Konko,Right-Back,26,Sevilla FC,LaLiga,Spain,Genoa,Serie A,Italy,2010-2011,6000000,6000000
Sergio Canales,Attacking Midfield,19,Racing,LaLiga,Spain,Real Madrid,LaLiga,Spain,2010-2011,6000000,6000000
Walter,Centre-Forward,20,Internacional,Serie A,Italy,FC Porto,Liga NOS,Portugal,2010-2011,5000000,6000000
Guilherme,Second Striker,22,Dynamo Kyiv,Premier Liga,Russia,Atlético-MG,Serie A,Italy,2010-2011,4800000,6000000
Lacina Traoré,Centre-Forward,20,CFR Cluj,Liga 1,Liga 1,Kuban Krasnodar,Premier Liga,Russia,2010-2011,4000000,6000000
Jorge Valdivia,Attacking Midfield,26,Al-Ain FC,United Arab Emirates,United Arab Emirates,Palmeiras,Serie A,Italy,2010-2011,3000000,6000000
Tomas Kalas,Centre-Back,17,Sigma Olomouc,HET Liga,HET Liga,Chelsea,Premier League,England,2010-2011,NA,6000000
Rodrigo,Centre-Forward,19,RM Castilla,2ª B - Grupo I,2ª B - Grupo I,Benfica,Liga NOS,Portugal,2010-2011,NA,6000000
Henrikh Mkhitaryan,Attacking Midfield,21,Metalurh D.,Premier Liga,Russia,Shakhtar D.,Premier Liga,Russia,2010-2011,4000000,5850000
Kevin-Prince Boateng,Central Midfield,23,Portsmouth,Championship,Championship,Genoa,Serie A,Italy,2010-2011,4000000,5700000
Gojko Kacar,Defensive Midfield,23,Hertha BSC,2.Bundesliga,Germany,Hamburger SV,1.Bundesliga,Germany,2010-2011,8500000,5500000
Mehmet Topal,Defensive Midfield,24,Galatasaray,Süper Lig,Turkey,Valencia CF,LaLiga,Spain,2010-2011,7500000,5500000
Tiberio Guarente,Central Midfield,24,Atalanta,Serie B,Italy,Sevilla FC,LaLiga,Spain,2010-2011,5500000,5500000
Miroslav Stoch,Left Winger,20,Chelsea,Premier League,England,Fenerbahce,Süper Lig,Turkey,2010-2011,4500000,5500000
Franco Jara,Centre-Forward,21,Arsenal FC,Torneo Final,Argentina,Benfica,Liga NOS,Portugal,2010-2011,2200000,5500000
Christian Poulsen,Defensive Midfield,30,Juventus,Serie A,Italy,Liverpool,Premier League,England,2010-2011,5500000,5480000
Samuel Inkoom,Right Winger,21,FC Basel,Super League,Super League,Dnipro,Premier Liga,Russia,2010-2011,4500000,5300000
Gylfi Sigurdsson,Attacking Midfield,20,Reading,Championship,Championship,TSG Hoffenheim,1.Bundesliga,Germany,2010-2011,5000000,5200000
Nicola Pozzi,Centre-Forward,24,FC Empoli,Serie B,Italy,Sampdoria,Serie A,Italy,2010-2011,3000000,5200000
Mauricio Pinilla,Centre-Forward,26,Grosseto,Serie B,Italy,US Palermo,Serie A,Italy,2010-2011,2500000,5100000
Nenê,Attacking Midfield,29,Monaco,Ligue 1,France,Paris SG,Ligue 1,France,2010-2011,10000000,5000000
Patrick Helmes,Centre-Forward,26,Bay. Leverkusen,1.Bundesliga,German,VfL Wolfsburg,1.Bundesliga,Germany,2010-2011,8500000,5000000
Mounir El Hamdaoui,Centre-Forward,25,AZ Alkmaar,Eredivisie,Netherlands,AFC Ajax,Eredivisie,Netherlands,2010-2011,7500000,5000000
Senijad Ibricic,Attacking Midfield,25,Hajduk Split,1.HNL,Croatia,Loko Moscow,Premier Liga,Russia,2010-2011,6500000,5000000
Alexis,Centre-Back,25,Valencia CF,LaLiga,Spain,Sevilla FC,LaLiga,Spain,2010-2011,6000000,5000000
Aristide Bancé,Centre-Forward,25,1.FSV Mainz 05,1.Bundesliga,German,Al-Ahli (UAE),United Arab Emirates,United Arab Emirates,2010-2011,5500000,5000000
Diego Tardelli,Centre-Forward,25,Atlético-MG,Serie A,Italy,Anzhi,Premier Liga,Russia,2010-2011,4500000,5000000
Bogdan Stancu,Centre-Forward,23,FCS Bucharest,Liga 1,Liga 1,Galatasaray,Süper Lig,Turkey,2010-2011,3700000,5000000
Razak Boukari,Right Winger,23,Lens,Ligue 1,France,Stade Rennais,Ligue 1,France,2010-2011,3600000,5000000
Anders Lindegaard,Goalkeeper,26,Aalesund,Eliteserien,Eliteserien,Man Utd,Premier League,England,2010-2011,3200000,5000000
Chico,Centre-Back,23,UD Almería,LaLiga,Spain,Genoa,Serie A,Italy,2010-2011,3000000,5000000
Jonathan Cristaldo,Centre-Forward,21,Vélez Sarsfield,Torneo Final,Argentina,Metalist,Premier Liga,Russia,2010-2011,3000000,5000000
Ezequiel Muñoz,Centre-Back,19,Boca Juniors,Torneo Final,Argentina,US Palermo,Serie A,Italy,2010-2011,1500000,5000000
Shamil Lakhiyalov,Second Striker,31,Krasnodar,Premier Liga,Russia,Anzhi,Premier Liga,Russia,2010-2011,1000000,5000000
Pablo González,Centre-Forward,25,Novara,Serie B,Italy,US Palermo,Serie A,Italy,2010-2011,400000,5000000
Nikica Jelavic,Centre-Forward,24,Rapid Vienna,Bundesliga,Germany,Rangers,Premiership,Premiership,2010-2011,2500000,4900000
Pablo Barrera,Right Winger,23,UNAM Pumas,Liga MX Clausura,Mexico,West Ham,Premier League,England,2010-2011,3500000,4800000
Jean Beausejour,Left-Back,26,América,Liga MX Clausura,Mexico,Birmingham,Premier League,England,2010-2011,2500000,4800000
Robert Lewandowski,Centre-Forward,21,Lech Poznan,Ekstraklasa,Ekstraklasa,Bor. Dortmund,1.Bundesliga,Germany,2010-2011,4500000,4750000
Guido Marilungo,Second Striker,21,Sampdoria,Serie A,Italy,Atalanta,Serie B,Italy,2010-2011,4000000,4700000
Daniel Osvaldo,Centre-Forward,24,Bologna,Serie A,Italy,Espanyol,LaLiga,Spain,2010-2011,4000000,4600000
Lorik Cana,Centre-Back,26,Sunderland,Premier League,England,Galatasaray,Süper Lig,Turkey,2010-2011,12000000,4500000
Gaetano D'Agostino,Central Midfield,28,Udinese Calcio,Serie A,Italy,Fiorentina,Serie A,Italy,2010-2011,10000000,4500000
Zvjezdan Misimovic,Attacking Midfield,28,Galatasaray,Süper Lig,Turkey,Dinamo Moscow,Premier Liga,Russia,2010-2011,9000000,4500000
Barreto,Second Striker,24,Udinese Calcio,Serie A,Italy,Bari,Serie A,Italy,2010-2011,8000000,4500000
Eduardo,Goalkeeper,27,Braga,Liga NOS,Portugal,Genoa,Serie A,Italy,2010-2011,7800000,4500000
Tuncay Sanli,Left Winger,29,Stoke City,Premier League,England,VfL Wolfsburg,1.Bundesliga,Germany,2010-2011,6500000,4500000
Fahid Ben Khalfallah,Right Winger,27,Valenciennes FC,Ligue 1,France,G. Bordeaux,Ligue 1,France,2010-2011,5000000,4500000
Sokratis,Centre-Back,22,Genoa,Serie A,Italy,AC Milan,Serie A,Italy,2010-2011,5000000,4500000
Marco Storari,Goalkeeper,33,AC Milan,Serie A,Italy,Juventus,Serie A,Italy,2010-2011,1500000,4500000
Jardel,Centre-Back,24,Desp. Brasil,Brazil,Brazil,Benfica,Liga NOS,Portugal,2010-2011,200000,4480000
Massimo Maccarone,Centre-Forward,30,Siena,Serie B,Italy,US Palermo,Serie A,Italy,2010-2011,4500000,4400000
Alberto Paloschi,Centre-Forward,21,Genoa,Serie A,Italy,AC Milan,Serie A,Italy,2010-2011,4800000,4350000
Aritz Aduriz,Centre-Forward,29,RCD Mallorca,LaLiga,Spain,Valencia CF,LaLiga,Spain,2010-2011,7000000,4300000
Adriano,Centre-Forward,29,Gamba Osaka,J1 League,J1 League,El-Jaish,Qatar,Qatar,2010-2011,1000000,4300000
Cheik Tioté,Defensive Midfield,24,FC Twente,Eredivisie,Netherlands,Newcastle,Premier League,England,2010-2011,3500000,4280000
Juanfran,Right-Back,25,CA Osasuna,LaLiga,Spain,Atlético Madrid,LaLiga,Spain,2010-2011,6000000,4250000
Juan Iturbe,Right Winger,17,Quilmes,Torneo Final,Argentina,FC Porto,Liga NOS,Portugal,2010-2011,100000,4250000
Jonathan Biabiany,Right Winger,22,Parma,Serie A,Italy,Inter,Serie A,Italy,2010-2011,7500000,4200000
Jajá,Centre-Forward,24,Metalist,Premier Liga,Russia,Trabzonspor,Süper Lig,Turkey,2010-2011,6000000,4200000
Nadir Belhadj,Left-Back,28,Portsmouth,Championship,Championship,Al Sadd,Qatar,Qatar,2010-2011,5500000,4200000
Éder,Second Striker,23,FC Empoli,Serie B,Italy,Brescia,Serie A,Italy,2010-2011,3000000,4200000
Winston Reid,Centre-Back,22,FC Midtjylland,Superligaen,Superligaen,West Ham,Premier League,England,2010-2011,1500000,4200000
Federico Rodríguez,Centre-Forward,19,Peñarol,Primera División,Spain,Genoa,Serie A,Italy,2010-2011,300000,4200000
Rod Fanni,Right-Back,29,Stade Rennais,Ligue 1,France,Marseille,Ligue 1,France,2010-2011,7500000,4000000
Mario Bolatti,Defensive Midfield,25,Fiorentina,Serie A,Italy,Internacional,Serie A,Italy,2010-2011,5500000,4000000
Onyekachi Apam,Centre-Back,23,OGC Nice,Ligue 1,France,Stade Rennais,Ligue 1,France,2010-2011,5000000,4000000
Dmitri Kombarov,Left-Back,23,Dinamo Moscow,Premier Liga,Russia,Spartak Moscow,Premier Liga,Russia,2010-2011,5000000,4000000
Nicolás Otamendi,Centre-Back,22,Vélez Sarsfield,Torneo Final,Argentina,FC Porto,Liga NOS,Portugal,2010-2011,5000000,4000000
Igor de Camargo,Centre-Forward,27,Standard Liège,Jupiler Pro League,Belgium,Bor. M'gladbach,1.Bundesliga,Germany,2010-2011,4500000,4000000
Kirill Kombarov,Right-Back,23,Dinamo Moscow,Premier Liga,Russia,Spartak Moscow,Premier Liga,Russia,2010-2011,4500000,4000000
Maicosuel,Left Winger,24,TSG Hoffenheim,1.Bundesliga,German,Botafogo,Serie A,Italy,2010-2011,4500000,4000000
Curtis Davies,Centre-Back,25,Aston Villa,Premier League,England,Birmingham,Premier League,England,2010-2011,4500000,4000000
Mémé Tchité,Centre-Forward,26,Racing,LaLiga,Spain,Standard Liège,Jupiler Pro League,Belgium,2010-2011,4000000,4000000
Paul Konchesky,Left-Back,29,Fulham,Premier League,England,Liverpool,Premier League,England,2010-2011,3500000,4000000
Ronnie Stam,Right-Back,26,FC Twente,Eredivisie,Netherlands,Wigan,Premier League,England,2010-2011,3500000,4000000
Cléo,Centre-Forward,25,Partizan,SuperLiga,SuperLiga,GZ Evergrande,Super League,Super League,2010-2011,3500000,4000000
Mauro Formica,Attacking Midfield,22,Newell's,Torneo Final,Argentina,Blackburn,Premier League,England,2010-2011,3500000,4000000
Alessio Cerci,Right Winger,23,AS Roma,Serie A,Italy,Fiorentina,Serie A,Italy,2010-2011,3500000,4000000
Ivan Strinic,Left-Back,23,Hajduk Split,1.HNL,Croatia,Dnipro,Premier Liga,Russia,2010-2011,3000000,4000000
Wilfried Bony,Centre-Forward,22,Sparta Praha,HET Liga,HET Liga,Vitesse,Eredivisie,Netherlands,2010-2011,2500000,4000000
Juraj Kucka,Central Midfield,23,Sparta Praha,HET Liga,HET Liga,Genoa,Serie A,Italy,2010-2011,2300000,4000000
Sebastian Rudy,Defensive Midfield,20,VfB Stuttgart,1.Bundesliga,German,TSG Hoffenheim,1.Bundesliga,Germany,2010-2011,1500000,4000000
Dídac Vilà,Left-Back,21,Espanyol,LaLiga,Spain,AC Milan,Serie A,Italy,2010-2011,800000,4000000
Wellington Silva,Right Winger,18,Fluminense,Serie A,Italy,Arsenal,Premier League,England,2010-2011,800000,4000000
Marco Fossati,Central Midfield,17,Inter U19,Primavera B,Primavera B,Milan U19,Primavera B,Primavera B,2010-2011,300000,4000000
Alípio,Centre-Forward,18,R. Madrid Youth,Spain,Spain,Benfica U19,Portugal,Portugal,2010-2011,NA,4000000
Roberto Firmino,Second Striker,19,Tombense,Brazil,Brazil,TSG Hoffenheim,1.Bundesliga,Germany,2010-2011,NA,4000000
Cristian Molinaro,Left-Back,26,Juventus,Serie A,Italy,VfB Stuttgart,1.Bundesliga,Germany,2010-2011,5000000,3900000
Damián Álvarez,Left Winger,32,CF Pachuca,Liga MX Clausura,Mexico,Tigres UANL,Liga MX Clausura,Mexico,2010-2011,2300000,3900000
Marcelo,Centre-Back,23,Wisla Kraków,Ekstraklasa,Ekstraklasa,PSV Eindhoven,Eredivisie,Netherlands,2010-2011,3200000,3800000
Marek Suchy,Centre-Back,22,Slavia Prag,HET Liga,HET Liga,Spartak Moscow,Premier Liga,Russia,2010-2011,2500000,3800000
Lorenzo Ariaudo,Centre-Back,21,Juventus,Serie A,Italy,Cagliari Calcio,Serie A,Italy,2010-2011,1300000,3800000
Matteo Ardemagni,Centre-Forward,23,Cittadella,Serie B,Italy,Atalanta,Serie B,Italy,2010-2011,1100000,3800000
Yekta Kurtulus,Central Midfield,25,Kasimpasa,Süper Lig,Turkey,Galatasaray,Süper Lig,Turkey,2010-2011,3000000,3750000
Mauro Boselli,Centre-Forward,25,Estudiantes,Torneo Final,Argentina,Wigan,Premier League,England,2010-2011,7500000,3700000
Steven Pienaar,Left Winger,28,Everton,Premier League,England,Spurs,Premier League,England,2010-2011,9500000,3600000
Stephen Hunt,Left Midfield,28,Hull City,Championship,Championship,Wolves,Premier League,England,2010-2011,5000000,3600000
Cleiton Xavier,Attacking Midfield,27,Desp. Brasil,Brazil,Brazil,Metalist,Premier Liga,Russia,2010-2011,4000000,3600000
Facundo Bertoglio,Attacking Midfield,20,Colón,Torneo Final,Argentina,Dynamo Kyiv,Premier Liga,Russia,2010-2011,4000000,3600000
Sebastián Fernández,Second Striker,25,CA Banfield,Torneo Final,Argentina,Málaga CF,LaLiga,Spain,2010-2011,2500000,3600000
Marc Wilson,Centre-Back,23,Portsmouth,Championship,Championship,Stoke City,Premier League,England,2010-2011,2500000,3600000
