Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Jérémy Mathieu,Centre-Back,30,Valencia CF,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2014-2015,12000000,20000000
Marcos Rojo,Centre-Back,24,Sporting CP,Liga NOS,Portugal,Man Utd,Premier League,England,2014-2015,12000000,20000000
Álvaro Morata,Centre-Forward,21,Real Madrid,LaLiga,Spain,Juventus,Serie A,Italy,2014-2015,12000000,20000000
Thomas Vermaelen,Centre-Back,28,Arsenal,Premier League,England,FC Barcelona,LaLiga,Spain,2014-2015,15000000,19000000
Ciro Immobile,Centre-Forward,24,Torino,Serie A,Italy,Bor. Dortmund,1.Bundesliga,Germany,2014-2015,18000000,18500000
Ivan Rakitic,Central Midfield,26,Sevilla FC,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2014-2015,20000000,18000000
Alberto Moreno,Left-Back,22,Sevilla FC,LaLiga,Spain,Liverpool,Premier League,England,2014-2015,15000000,18000000
Daley Blind,Left-Back,24,AFC Ajax,Eredivisie,Netherlands,Man Utd,Premier League,England,2014-2015,12000000,17500000
Javi García,Defensive Midfield,27,Man City,Premier League,England,Zenit S-Pb,Premier Liga,Russia,2014-2015,12000000,16800000
Jan Oblak,Goalkeeper,21,Benfica,Liga NOS,Portugal,Atlético Madrid,LaLiga,Spain,2014-2015,4000000,16000000
Bernardo Silva,Right Winger,20,Benfica,Liga NOS,Portugal,Monaco,Ligue 1,France,2014-2015,3500000,15750000
Juan Iturbe,Right Winger,21,FC Porto,Liga NOS,Portugal,Hellas Verona,Serie A,Italy,2014-2015,20000000,15000000
Alessio Cerci,Right Winger,27,Torino,Serie A,Italy,Atlético Madrid,LaLiga,Spain,2014-2015,18000000,15000000
Radja Nainggolan,Central Midfield,26,Cagliari Calcio,Serie A,Italy,AS Roma,Serie A,Italy,2014-2015,18000000,15000000
Fernando,Defensive Midfield,26,FC Porto,Liga NOS,Portugal,Man City,Premier League,England,2014-2015,17500000,15000000
Éverton Ribeiro,Attacking Midfield,25,Cruzeiro,Serie A,Italy,Al-Ahli (UAE),UAE Gulf League,UAE Gulf League,2014-2015,17000000,15000000
Ricardo Goulart,Second Striker,23,Cruzeiro,Serie A,Italy,GZ Evergrande,Super League,Super League,2014-2015,11000000,15000000
Mathieu Debuchy,Right-Back,28,Newcastle,Premier League,England,Arsenal,Premier League,England,2014-2015,10000000,15000000
Gabriel Paulista,Centre-Back,24,Villarreal CF,LaLiga,Spain,Arsenal,Premier League,England,2014-2015,8000000,15000000
Enner Valencia,Centre-Forward,24,CF Pachuca,Liga MX Clausura,Mexico,West Ham,Premier League,England,2014-2015,1600000,15000000
Shane Long,Centre-Forward,27,Hull City,Premier League,England,Southampton,Premier League,England,2014-2015,6000000,14900000
Hakan Calhanoglu,Left Winger,20,Hamburger SV,1.Bundesliga,German,Bay. Leverkusen,1.Bundesliga,Germany,2014-2015,7000000,14500000
Seydou Doumbia,Centre-Forward,27,CSKA Moscow,Premier Liga,Russia,AS Roma,Serie A,Italy,2014-2015,25000000,14400000
