DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,FR,2016,179.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,FR,2017,169.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,FR,2018,184.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,FR,2019,179.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,FR,2020,183.7,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2011,4.1,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2012,4.5,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2013,4.6,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2014,6.1,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2015,4.8,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2016,5.9,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2017,6.4,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2018,9.7,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2019,11.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HR,2020,6.0,u
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2011,10.7,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2012,11.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2013,12.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2014,14.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2015,18.7,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2016,17.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2017,15.8,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2018,18.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2019,22.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,HU,2020,26.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2011,19.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2012,17.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2013,19.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2014,19.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2015,18.5,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2016,21.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2017,23.1,b
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2018,23.8,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2019,24.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IE,2020,21.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2011,3.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2012,3.5,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2013,3.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2014,3.5,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2015,3.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2016,3.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2017,4.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2018,4.5,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2019,4.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IS,2020,4.2,b
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2011,104.8,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2012,99.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2013,103.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2014,120.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2015,117.5,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2016,119.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2017,130.3,b
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2018,116.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2019,133.7,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,IT,2020,137.6,
